IDCentro,Client,Channel 1,Channel 2,CD
AV26,13667629,KA,UC,CD Autosur
AV30,12193458,UC,UC,CD Riohacha
AV72,11463841,UC,UC,CD Cenfer UDC
AV20,12902556,UC,UC,CD Cucuta
AV06,10606683,UC,UC,CD Tocancipa
AV27,12615587,UC,UC,CD Ibague
AV49,10363088,UC,UC,CD Metroparque
AV10,11412182,UC,UC,CD Turbaco
AV55,14186112,UC,UC,CD Girardota
AV06,14095814,UC,UC,CD Tocancipa
AV47,11616350,UC,UC,CD Sibate
AV20,13928461,UC,UC,CD Cucuta
AV04,12275790,UC,UC,CD Tibasosa
AV39,14195096,UC,UC,CD Monteria
AV06,11705503,UC,UC,CD Tocancipa
AV40,13937323,UC,UC,CD Caucasia
AV50,11290114,UC,UC,CD Siberia
AV06,13837491,KA,KA,CD Tocancipa
AV42,13873905,UC,UC,CD Tunja
AV49,13975941,UC,UC,CD Metroparque
AV28,14127136,UC,UC,CD Popayan
AV55,10529657,UD DSD,UD DSD,CD Girardota
AV04,13449432,UC,UC,CD Tibasosa
AV39,12965816,UC,UC,CD Monteria
AV16,14164545,UC,UC,CD Pereira
AV16,12787900,UC,UC,CD Pereira
AV46,10890975,UC,UC,CD Cali
AV47,12580728,UC,UC,CD Sibate
AV06,13081609,UC,UC,CD Tocancipa
AV04,13885840,UC,UC,CD Tibasosa
AV49,13957961,UC,UC,CD Metroparque
AV26,13497392,UC,UC,CD Autosur
AV17,14114920,UC,UC,CD Girardot
AV20,12265608,UC,UC,CD Cucuta
AV55,10521893,UC,UC,CD Girardota
AV19,14192408,UC,UC,CD Villavicencio
AV78,13244324,UC,UC,CD Montevideo
AV24,11681729,UC,UC,CD Yopal
AV15,10450503,UC,UC,CD Pasto
AV46,10893484,UD DSD,UD DSD,CD Cali
AV68,10485288,UC,UC,CD Bodega MKP Tocancipá
AV50,12770735,UC,UC,CD Siberia
AV20,14192826,KA,UC,CD Cucuta
AV05,10564354,KA,KA,CD Itagüi
AV42,12870233,UC,UC,CD Tunja
AV17,14118510,UC,UC,CD Girardot
AV04,14113383,UC,UC,CD Tibasosa
AV34,13537518,UC,UC,CD Puente Nacional
AV16,12590281,UC,UC,CD Pereira
AV49,11796750,UC,UC,CD Metroparque
AV05,11454660,UC,UC,CD Itagüi
AV55,12666125,UC,UC,CD Girardota
AV74,12787807,UC,UC,CD La arenosa
AV20,11572919,UC,UC,CD Cucuta
AV46,11714866,UC,UC,CD Cali
AV35,13474020,UC,UC,CD San Gil
AV70,13729321,UC,UC,CD Envigado UDC
AV46,10883046,UC,UC,CD Cali
AV19,13877164,UC,UC,CD Villavicencio
AV53,11696494,UC,UC,CD Bosa UDC
AV27,13011136,UC,UC,CD Ibague
AV06,12102215,UC,UC,CD Tocancipa
AV28,11582280,UC,UC,CD Popayan
AV70,10540111,UC,UC,CD Envigado UDC
AV70,11327880,KA,UC,CD Envigado UDC
AV06,11102932,KA,KA,CD Tocancipa
AV05,12937956,UC,UC,CD Itagüi
AV35,10787335,UC,UC,CD San Gil
AV78,12580045,UC,UC,CD Montevideo
AV26,10633076,UC,UC,CD Autosur
AV04,10283558,UC,UC,CD Tibasosa
AV25,10327154,UC,UC,CD Honda
AV47,14195596,UC,UC,CD Sibate
AV04,10281944,UC,UC,CD Tibasosa
AV05,13940380,UD DSD,UD DSD,CD Itagüi
AV50,12440386,UC,UC,CD Siberia
AV49,12950883,UC,UC,CD Metroparque
AV17,13244878,UC,UC,CD Girardot
AV46,10881925,UC,UC,CD Cali
AV47,11706269,KA,UC,CD Sibate
AV26,13901790,UC,UC,CD Autosur
AV46,10891924,UC,UC,CD Cali
AV55,11648478,UD DSD,UD DSD,CD Girardota
AV05,12977950,UC,UC,CD Itagüi
AV40,10939681,UC,UC,CD Caucasia
AV39,13056978,UC,UC,CD Monteria
AV16,14175089,UC,UC,CD Pereira
AV05,13401049,KA,KA,CD Itagüi
AV10,13725494,UC,UC,CD Turbaco
AV19,14190302,UC,UC,CD Villavicencio
AV06,10611007,UC,UC,CD Tocancipa
AV17,14111876,UC,UC,CD Girardot
AV20,13305245,UC,UC,CD Cucuta
AV71,13052698,UC,UC,CD Chapinero UDC
AV33,13937957,UC,UC,CD Aguachica
AV04,12460686,UC,UC,CD Tibasosa
AV15,12456831,UC,UC,CD Pasto
AV39,12944867,UC,UC,CD Monteria
AV16,10458755,UC,UC,CD Pereira
AV04,11436695,UC,UC,CD Tibasosa
AV54,13304894,UC,UC,CD Engativa UDC
AV49,13331290,UC,UC,CD Metroparque
AV39,10504193,UC,UC,CD Monteria
AV23,13512821,UC,UC,CD Bucaramanga
AV39,10497247,UC,UC,CD Monteria
AV50,14104649,UC,UC,CD Siberia
AV10,12740139,UC,UC,CD Turbaco
AV42,10279855,UC,UC,CD Tunja
AV06,13980280,KA,KA,CD Tocancipa
AV26,11478652,UC,UC,CD Autosur
AV49,13021290,UC,UC,CD Metroparque
AV04,10283060,UC,UC,CD Tibasosa
AV27,13186246,UC,UC,CD Ibague
AV23,13495469,UC,UC,CD Bucaramanga
AV06,13246715,UC,UC,CD Tocancipa
AV04,11136126,UC,UC,CD Tibasosa
AV42,12126900,UC,UC,CD Tunja
AV11,14130911,UC,UC,CD Santa Marta
AV04,12223829,KA,UC,CD Tibasosa
AV02,10439500,UC,UC,CD Bucaramanga
AV25,10346249,UC,UC,CD Honda
AV74,13052584,KA,KA,CD La arenosa
AV27,14150232,UC,UC,CD Ibague
AV46,10889048,UD DSD,UD DSD,CD Cali
AV42,11405707,UC,UC,CD Tunja
AV32,12713456,UC,UC,CD Magangue
AV13,11512706,UC,UC,CD Corozal
AV24,12850822,UC,UC,CD Yopal
AV10,13738547,UC,UC,CD Turbaco
AV52,13771779,UC,UC,CD Aranjuez UDC
AV47,12949974,UC,UC,CD Sibate
AV04,13233647,KA,UC,CD Tibasosa
AV68,11180790,UC,UC,CD Bodega MKP Tocancipá
AV68,12523858,UC,UC,CD Bodega MKP Tocancipá
AV57,13719593,UC,UC,CD Tulua
AV74,11339195,UC,UC,CD La arenosa
AV49,10361028,UC,UC,CD Metroparque
AV04,10280421,UC,UC,CD Tibasosa
AV20,12583094,UC,UC,CD Cucuta
AV68,13980483,UC,UC,CD Bodega MKP Tocancipá
AV52,11431518,UC,UC,CD Aranjuez UDC
AV52,12576879,UC,UC,CD Aranjuez UDC
AV55,14160423,UC,UC,CD Girardota
AV49,12718943,UC,UC,CD Metroparque
AV42,12974055,UC,UC,CD Tunja
AV19,14097354,UC,UC,CD Villavicencio
AV20,13725247,UC,UC,CD Cucuta
AV05,10518235,UC,UC,CD Itagüi
AV47,13944691,UC,UC,CD Sibate
AV78,14009700,UC,UC,CD Montevideo
AV52,11615672,UC,UC,CD Aranjuez UDC
AV05,13176074,UD DSD,UD DSD,CD Itagüi
AV55,12610736,UC,UC,CD Girardota
AV26,11629191,UC,UC,CD Autosur
AV46,12875787,UC,UC,CD Cali
AV78,12965845,KA,UC,CD Montevideo
AV49,12681282,UC,UC,CD Metroparque
AV34,12536884,UC,UC,CD Puente Nacional
AV20,11441628,UC,UC,CD Cucuta
AV01,13733421,KA,KA,CD Yumbo
AV06,11275570,UC,UC,CD Tocancipa
AV28,12254431,UC,UC,CD Popayan
AV24,11253825,UC,UC,CD Yopal
AV06,14128828,UC,UC,CD Tocancipa
AV46,10896056,UD DSD,UD DSD,CD Cali
AV35,11775856,UC,UC,CD San Gil
AV04,10287028,UC,UC,CD Tibasosa
AV22,10365598,UC,UC,CD Armenia
AV20,11450811,UC,UC,CD Cucuta
AV11,13873450,UC,UC,CD Santa Marta
AV55,12294321,UC,UC,CD Girardota
AV11,12223807,KA,UC,CD Santa Marta
AV49,11678853,UC,UC,CD Metroparque
AV04,10283433,UC,UC,CD Tibasosa
AV11,12724445,UC,UC,CD Santa Marta
AV66,11633018,UC,UC,CD Chiquinquira
AV47,10767804,UC,UC,CD Sibate
AV26,14029054,UC,UC,CD Autosur
AV15,13912910,UC,UC,CD Pasto
AV55,13500687,UC,UC,CD Girardota
AV50,10606696,UC,UC,CD Siberia
AV46,11707621,UD DSD,UD DSD,CD Cali
AV27,10333861,UC,UC,CD Ibague
AV20,12976522,KA,UC,CD Cucuta
AV20,11753525,UC,UC,CD Cucuta
AV50,14007029,UC,UC,CD Siberia
AV17,14085095,UC,UC,CD Girardot
AV74,10478209,UC,UC,CD La arenosa
AV18,12404434,UC,UC,CD Neiva
AV34,13686937,UC,UC,CD Puente Nacional
AV16,11445388,UC,UC,CD Pereira
AV17,11394009,UC,UC,CD Girardot
AV20,13440706,UC,UC,CD Cucuta
AV26,13039682,UC,UC,CD Autosur
AV04,11156735,UC,UC,CD Tibasosa
AV46,10889385,UD DSD,UD DSD,CD Cali
AV20,12300132,UC,UC,CD Cucuta
AV19,11347089,KA,UC,CD Villavicencio
AV05,12939442,UC,UC,CD Itagüi
AV74,11480567,UC,UC,CD La arenosa
AV04,10290380,UC,UC,CD Tibasosa
AV27,11506189,UC,UC,CD Ibague
AV06,13410042,UC,UC,CD Tocancipa
AV05,10512734,UC,UC,CD Itagüi
AV52,11295679,UC,UC,CD Aranjuez UDC
AV35,12924335,UC,UC,CD San Gil
AV05,12485857,UC,UC,CD Itagüi
AV50,10602537,UC,UC,CD Siberia
AV06,10597632,UC,UC,CD Tocancipa
AV22,10362950,UC,UC,CD Armenia
AV26,10625596,UC,UC,CD Autosur
AV19,10428927,UC,UC,CD Villavicencio
AV46,12265835,UC,UC,CD Cali
AV55,10528905,UC,UC,CD Girardota
AV78,13755818,UD DSD,UD DSD,CD Montevideo
AV54,10634622,UC,UC,CD Engativa UDC
AV06,10610999,UC,UC,CD Tocancipa
AV71,12985730,UC,UC,CD Chapinero UDC
AV04,12447328,UC,UC,CD Tibasosa
AV78,11770142,UC,UC,CD Montevideo
AV42,13542950,UC,UC,CD Tunja
AV30,13975608,UC,UC,CD Riohacha
AV52,10523644,KA,UC,CD Aranjuez UDC
AV16,13027912,UC,UC,CD Pereira
AV39,14171304,UC,UC,CD Monteria
AV69,13843196,UC,UC,CD CAR Torices UDC
AV20,11762492,UC,UC,CD Cucuta
AV06,13407254,UC,UC,CD Tocancipa
AV20,11874401,UC,UC,CD Cucuta
AV46,12256935,UC,UC,CD Cali
AV57,13248074,UC,UC,CD Tulua
AV04,14131281,UC,UC,CD Tibasosa
AV27,14188785,UC,UC,CD Ibague
AV47,12184076,UC,UC,CD Sibate
AV19,13716806,UC,UC,CD Villavicencio
AV16,14067699,KA,KA,CD Pereira
AV04,12769999,UC,UC,CD Tibasosa
AV74,13835314,KA,KA,CD La arenosa
AV04,11611957,UC,UC,CD Tibasosa
AV19,14106205,UC,UC,CD Villavicencio
AV37,13475842,UC,UC,CD Barrancabermeja
AV55,13962218,UC,UC,CD Girardota
AV34,13719005,UC,UC,CD Puente Nacional
