,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
0,10279095,8955.0,676.9979999999999,2025-03-10,Centro,AV04,5.807142,-73.006556,5.80617,-73.00564,1,AV04
1,10279105,3129.75,236.6091,2025-03-26,Centro,AV42,5.544456,-73.352553,5.403232,-73.335933,4,AV42
2,10279115,8814.75,666.3951,2025-03-28,Centro,AV04,5.807142,-73.006556,5.825424,-73.03205,1,AV04
3,10279118,2647.65,200.16234,2025-03-28,Centro,AV42,5.544456,-73.352553,5.631301,-73.527817,4,AV42
4,10279127,41.0,3.0996,2025-03-18,Centro,AV04,5.807142,-73.006556,5.83682278,-73.04110516,1,AV04
5,10279130,49.0,3.7043999999999997,2025-03-28,Centro,AV04,5.807142,-73.006556,5.83733,-73.0418,1,AV04
6,10279132,10.4,0.78624,2025-03-28,Centro,AV04,5.807142,-73.006556,5.83845,-73.042,1,AV04
7,10279133,10.0,0.756,2025-03-20,Centro,AV04,5.807142,-73.006556,5.83825,-73.0422,1,AV04
8,10279142,5.0,0.378,2025-03-04,Centro,AV04,5.807142,-73.006556,5.8340609,-73.0409,1,AV04
9,10279144,47.75,3.6099,2025-03-14,Centro,AV04,5.807142,-73.006556,5.83251,-73.0408,1,AV04
10,10279146,34.5833333,2.6144999974800003,2025-03-14,Centro,AV04,5.807142,-73.006556,5.83237,-73.0416,1,AV04
11,10279147,4.0,0.3024,2025-03-07,Centro,AV04,5.807142,-73.006556,5.83129,-73.0433,1,AV04
12,10279149,112.08333329999999,8.47349999748,2025-03-21,Centro,AV04,5.807142,-73.006556,5.83024,-73.0401,1,AV04
13,10279152,16.0,1.2096,2025-03-11,Centro,AV04,5.807142,-73.006556,5.82956,-73.0391,1,AV04
14,10279155,65.75,4.9707,2025-03-21,Centro,AV04,5.807142,-73.006556,5.82311,-73.0427,1,AV04
15,10279164,29.7,2.24532,2025-03-07,Centro,AV04,5.807142,-73.006556,5.82411,-73.0466,1,AV04
16,10279165,8.5,0.6426000000000001,2025-03-21,Centro,AV04,5.807142,-73.006556,5.82474,-73.0455,1,AV04
17,10279168,3.5,0.2646,2025-03-18,Centro,AV04,5.807142,-73.006556,5.82571,-73.0455,1,AV04
18,10279186,32.5,2.457,2025-03-21,Centro,AV04,5.807142,-73.006556,5.82451,-73.0384,1,AV04
19,10279188,6.2,0.46872,2025-03-14,Centro,AV04,5.807142,-73.006556,5.82427,-73.0456,1,AV04
20,10279190,4.0,0.3024,2025-03-28,Centro,AV04,5.807142,-73.006556,5.83524,-73.0348,1,AV04
21,10279193,30.0,2.268,2025-03-20,Centro,AV04,5.807142,-73.006556,5.8378,-73.0338,1,AV04
22,10279200,21.0,1.5876000000000001,2025-03-20,Centro,AV04,5.807142,-73.006556,5.84093,-73.0351,1,AV04
23,10279205,49.0,3.7043999999999997,2025-03-06,Centro,AV04,5.807142,-73.006556,5.84322,-73.0366,1,AV04
24,10279206,8.0,0.6048,2025-03-13,Centro,AV04,5.807142,-73.006556,5.84548,-73.0361,1,AV04
25,10279207,18.0,1.3608,2025-03-20,Centro,AV04,5.807142,-73.006556,5.84707,-73.036,1,AV04
26,10279209,26.5,2.0034,2025-03-27,Centro,AV04,5.807142,-73.006556,5.84441,-73.0381,1,AV04
27,10279211,35.0,2.646,2025-03-23,Centro,AV04,5.807142,-73.006556,5.84437,-73.0377,1,AV04
28,10279215,63.0,4.7627999999999995,2025-03-10,Centro,AV04,5.807142,-73.006556,5.84083,-73.0367,1,AV04
29,10279216,17.25,1.3041,2025-03-20,Centro,AV04,5.807142,-73.006556,5.8384,-73.0364,1,AV04
30,10279230,16.0,1.2096,2025-03-25,Centro,AV04,5.807142,-73.006556,5.83562,-73.037,1,AV04
31,10279233,8.0,0.6048,2025-03-28,Centro,AV04,5.807142,-73.006556,5.83454,-73.0354,1,AV04
32,10279235,2.25,0.1701,2025-03-18,Centro,AV04,5.807142,-73.006556,5.835532,-73.036725,1,AV04
33,10279241,51.25,3.8745000000000003,2025-03-25,Centro,AV04,5.807142,-73.006556,5.81827,-73.0356,1,AV04
34,10279242,28.5,2.1546,2025-03-21,Centro,AV04,5.807142,-73.006556,5.81931,-73.0362,1,AV04
35,10279266,34.5,2.6082,2025-03-22,Centro,AV04,5.807142,-73.006556,5.81788,-73.0332,1,AV04
36,10279268,22.0,1.6632,2025-03-21,Centro,AV04,5.807142,-73.006556,5.81865,-73.0338,1,AV04
37,10279274,9.0,0.6804,2025-03-21,Centro,AV04,5.807142,-73.006556,5.81285,-73.032,1,AV04
38,10279276,24.0,1.8144,2025-03-04,Centro,AV04,5.807142,-73.006556,5.80714,-73.0369,1,AV04
39,10279279,31.0,2.3436,2025-03-28,Centro,AV04,5.807142,-73.006556,5.80544,-73.0382,1,AV04
40,10279285,82.0,6.1992,2025-03-11,Centro,AV04,5.807142,-73.006556,5.80577,-73.0321,1,AV04
